BJ'S GIFTS GIVEAWAY & MINI LAUNDROMAT,JAMAICA AVENUE,75-02 JAMAICA AVENUE,,11421,7188699262
BLUE HAVEN LAUNDROMAT,BATH AVENUE,2220 BATH AVENUE,,11214,7187149194
DELUX LAUNDRY SERVICE,36 AVENUE,32-06 36 AVENUE,,11106,7183093038
ECO WASH,WEST   69 STREET,72 WEST   69 STREET,,10023,2127873890
EZ CLEAN LAUNDROMAT,HORIZON PLAZA,66 HORIZON PLAZA,,10460,7189913565
FRESH SCENT LAUNDRY,FRESH MEADOW LANE,68-18 FRESH MEADOW LANE,,11365,6318062797
JOSEPH'S LAUNDROMAT,UTICA AVENUE,167 UTICA AVENUE,,11213,7183632129
JUANA LAUNDRY,BROADWAY,48-08 BROADWAY,,11103,7189322132
MR SUPER LAUNDROMAT,JAMAICA AVENUE,205-20 JAMAICA AVENUE,,11423,7184681600
OCEAN BAY LAUNDROMAT,BEACH  129 STREET,448 BEACH  129 STREET,,11694,7184740696
